id,index,name,variant,filename,audio_path,duration_sec,bpm,key,energy,loudness,duration,family,tags
027_Intimate_A,27,Intimate,A,027_Intimate.m4a,/assets/media/audio/027_Intimate.m4a,134.96,76.0,G,0.1634,-314.71,,,
028_Intimate_B,28,Intimate,B,028_Intimate.m4a,/assets/media/audio/028_Intimate.m4a,127.96,71.8,A,0.1285,-356.48,,,
029_Warm_A,29,Warm,A,029_Warm.m4a,/assets/media/audio/029_Warm.m4a,122.44,172.3,Eb,0.1393,-342.4,,,
030_Warm_B,30,Warm,B,030_Warm.m4a,/assets/media/audio/030_Warm.m4a,112.24,86.1,Bb,0.1368,-345.63,,,
031_Cheerful_A,31,Cheerful,A,031_Cheerful.m4a,/assets/media/audio/031_Cheerful.m4a,89.84,95.7,G,0.1449,-335.62,,,
032_Cheerful_B,32,Cheerful,B,032_Cheerful.m4a,/assets/media/audio/032_Cheerful.m4a,98.88,92.3,G,0.1183,-370.82,,,
033_Sincere_A,33,Sincere,A,033_Sincere.m4a,/assets/media/audio/033_Sincere.m4a,133.72,80.7,E,0.1496,-330.04,,,
034_Sincere_B,34,Sincere,B,034_Sincere.m4a,/assets/media/audio/034_Sincere.m4a,80.16,86.1,Ab,0.1062,-389.47,,,
035_Grateful_A,35,Grateful,A,035_Grateful.m4a,/assets/media/audio/035_Grateful.m4a,99.56,172.3,C,0.1383,-343.65,,,
036_Grateful_B,36,Grateful,B,036_Grateful.m4a,/assets/media/audio/036_Grateful.m4a,122.52,92.3,C,0.1224,-364.87,,,
037_Playful_A,37,Playful,A,037_Playful.m4a,/assets/media/audio/037_Playful.m4a,86.08,184.6,G,0.1161,-374.01,,,
038_Playful_B,38,Playful,B,038_Playful.m4a,/assets/media/audio/038_Playful.m4a,72.64,89.1,G,0.133,-350.43,,,
039_Gracious_A,39,Gracious,A,039_Gracious.m4a,/assets/media/audio/039_Gracious.m4a,153.64,89.1,A,0.1418,-339.35,,,
040_Gracious_B,40,Gracious,B,040_Gracious.m4a,/assets/media/audio/040_Gracious.m4a,151.6,89.1,D,0.1452,-335.22,,,
041_Comforting_A,41,Comforting,A,041_Comforting.m4a,/assets/media/audio/041_Comforting.m4a,114.0,117.5,Eb,0.1271,-358.36,,,
042_Comforting_B,42,Comforting,B,042_Comforting.m4a,/assets/media/audio/042_Comforting.m4a,121.88,129.2,Eb,0.1506,-328.92,,,
043_Hopeful_A,43,Hopeful,A,043_Hopeful.m4a,/assets/media/audio/043_Hopeful.m4a,101.16,89.1,C#,0.1058,-390.22,,,
044_Hopeful_B,44,Hopeful,B,044_Hopeful.m4a,/assets/media/audio/044_Hopeful.m4a,108.2,89.1,Bb,0.1086,-385.68,,,
045_Complacent_A,45,Complacent,A,045_Complacent.m4a,/assets/media/audio/045_Complacent.m4a,112.0,103.4,G,0.1244,-362.11,,,
046_Complacent_B,46,Complacent,B,046_Complacent.m4a,/assets/media/audio/046_Complacent.m4a,69.92,161.5,D,0.1173,-372.28,,,
047_Mellow_A,47,Mellow,A,047_Mellow.m4a,/assets/media/audio/047_Mellow.m4a,152.8,161.5,A,0.1357,-346.91,,,
048_Mellow_B,48,Mellow,B,048_Mellow.m4a,/assets/media/audio/048_Mellow.m4a,153.88,161.5,F,0.1606,-317.67,,,
049_At Ease_A,49,At Ease,A,049_At Ease.m4a,/assets/media/audio/049_At Ease.m4a,101.84,161.5,Bb,0.1311,-352.95,,,
050_At Ease_B,50,At Ease,B,050_At Ease.m4a,/assets/media/audio/050_At Ease.m4a,127.32,172.3,Bb,0.1825,-295.54,,,
051_Serene_A,51,Serene,A,051_Serene.m4a,/assets/media/audio/051_Serene.m4a,128.92,99.4,Bb,0.1659,-312.06,,,
052_Serene_B,52,Serene,B,052_Serene.m4a,/assets/media/audio/052_Serene.m4a,130.0,89.1,Bb,0.1621,-316.06,,,
